ID,CLIENT,APP_ID,RELEASE_DATE,RELEASE_VERSION,DB_NAME,RELEASE_WHO,ENVIRONMENT,BUILD_NUMBER
340,WeightWatchers,wwi,"2017-09-12",17.6.0.34,OT18.WORLD,jraj,QA,
341,Pandora,pt,"2017-09-19",17.7.0.49,OT29.WORLD,vshekar,QA,
342,Nike,nke,"2017-09-19",17.7.0.50,OT65.WORLD,vshekar,QA,
343,Nike,nke,"2017-09-21",17.7.0.63,OT65.WORLD,jraj,QA,
344,Disney,sp2,"2017-09-21",17.7.0.64,OT10.WORLD,vshekar,QA,
345,Nike,nke,"2017-09-20",17.7.0.58,OT65.WORLD,vshekar,QA,
346,Nike,nke,"2018-02-12",18.2.0.5,OT65.WORLD,jraj,QA,
347,Pandora,pt,"2017-09-20",17.7.0.57,OT29.WORLD,vshekar,QA,
348,Meritor,mtor,"2017-10-13",17.8.0.5,OT69.WORLD,vshekar,QA,
349,Siemens,sms,"2017-10-13",17.7.0.84,OT00.WORLD,vshekar,QA,
